projectName,status,landmark,fullAddress,city,type,price,search_text
Ashwini,UNDER_CONSTRUCTION,Babys school,Mumbai chembur,Pune,1BHK,11111111,Ashwini UNDER_CONSTRUCTION Babys school Mumbai chembur Pune 1BHK 11111111
Ashwini,UNDER_CONSTRUCTION,Babys school,Mumbai chembur,Pune,2BHK,22222222,Ashwini UNDER_CONSTRUCTION Babys school Mumbai chembur Pune 2BHK 22222222
Pristine02,READY_TO_MOVE,Sai nagar ,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",Pune,2BHK,120000000,"Pristine02 READY_TO_MOVE Sai nagar  sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune  Pune 2BHK 120000000"
Pristine02,READY_TO_MOVE,Sai nagar ,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",Pune,2BHK,210000000,"Pristine02 READY_TO_MOVE Sai nagar  sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune  Pune 2BHK 210000000"
Gurukripa,UNDER_CONSTRUCTION,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Mumbai,1BHK,13000000,"Gurukripa UNDER_CONSTRUCTION Sindhi Society Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai Mumbai 1BHK 13000000"
Gurukripa,UNDER_CONSTRUCTION,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Mumbai,1BHK,15000000,"Gurukripa UNDER_CONSTRUCTION Sindhi Society Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai Mumbai 1BHK 15000000"
Gurukripa,UNDER_CONSTRUCTION,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Mumbai,3BHK,29000000,"Gurukripa UNDER_CONSTRUCTION Sindhi Society Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai Mumbai 3BHK 29000000"
Gurukripa,UNDER_CONSTRUCTION,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Mumbai,3BHK,29000000,"Gurukripa UNDER_CONSTRUCTION Sindhi Society Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai Mumbai 3BHK 29000000"
Gurukripa,UNDER_CONSTRUCTION,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Mumbai,2BHK,26000000,"Gurukripa UNDER_CONSTRUCTION Sindhi Society Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai Mumbai 2BHK 26000000"
Gurukripa,UNDER_CONSTRUCTION,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Mumbai,2BHK,33000000,"Gurukripa UNDER_CONSTRUCTION Sindhi Society Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai Mumbai 2BHK 33000000"
Hari om,UNDER_CONSTRUCTION,Sindhi Society,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",Mumbai,1BHK,13000000,"Hari om UNDER_CONSTRUCTION Sindhi Society Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071 Mumbai 1BHK 13000000"
Hari om,UNDER_CONSTRUCTION,Sindhi Society,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",Mumbai,2BHK,19000000,"Hari om UNDER_CONSTRUCTION Sindhi Society Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071 Mumbai 2BHK 19000000"
Hari om,UNDER_CONSTRUCTION,Sindhi Society,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",Mumbai,3BHK,23000000,"Hari om UNDER_CONSTRUCTION Sindhi Society Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071 Mumbai 3BHK 23000000"
Om makarand heights,UNDER_CONSTRUCTION,Hind high school,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",Mumbai,1BHK,850000,"Om makarand heights UNDER_CONSTRUCTION Hind high school 104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075 Mumbai 1BHK 850000"
Om makarand heights,UNDER_CONSTRUCTION,Hind high school,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",Mumbai,1BHK,790000,"Om makarand heights UNDER_CONSTRUCTION Hind high school 104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075 Mumbai 1BHK 790000"
Om makarand heights,UNDER_CONSTRUCTION,Hind high school,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",Mumbai,1BHK,880000,"Om makarand heights UNDER_CONSTRUCTION Hind high school 104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075 Mumbai 1BHK 880000"
Om makarand heights,UNDER_CONSTRUCTION,Hind high school,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",Mumbai,2BHK,12000000,"Om makarand heights UNDER_CONSTRUCTION Hind high school 104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075 Mumbai 2BHK 12000000"
Om makarand heights,UNDER_CONSTRUCTION,Hind high school,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",Mumbai,2BHK,14000000,"Om makarand heights UNDER_CONSTRUCTION Hind high school 104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075 Mumbai 2BHK 14000000"
